Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone Number,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Profession,Notes,Valid?
HMCTS72,N/D,SCS1,Operation Delivery.Director,North East RSU,Ministry of Justice,AGY - HMCTS,CT NE Regional Office,020 3334 3555,general.queries@justice.gsi.gov.uk,HMCTS43,35329234,1,N/A,N/A,Operational Delivery,,1
HMCTS73,Kevin Gallagher,SCS2,Other.Director,Digital Directorate Admin Staff,Ministry of Justice,AGY - HMCTS,HQ ICT,020 3334 3555,general.queries@justice.gsi.gov.uk,HMCTS16,4293915,1,160000,164999,"Digital, Technology and Data",,1
HMCTS74,N/D,SCS1,Operation Delivery.Deputy Director,North West RSU,Ministry of Justice,AGY - HMCTS,CT NW Regional Office,020 3334 3555,general.queries@justice.gsi.gov.uk,HMCTS43,36486786,1,N/A,N/A,Operational Delivery,,1
CFOG40,N/D,SCS1,General.,Digital Change Staff & Overhead Admin,Ministry of Justice,AGY - MoJ HQ,DIR - Digital and Technology,020 3334 3555,general.queries@justice.gsi.gov.uk,CFOG8,767270,1,N/A,N/A,"Digital, Technology and Data",,1
JAOPG39,N/D,SCS1,Operation Delivery.Senior Manager,HMI Probation Admin,Ministry of Justice,AGY - MoJ HQ,DIR - HMI Probation,020 3334 3555,general.queries@justice.gsi.gov.uk,JPSCG1,0,1,N/A,N/A,Operational Delivery,,1
HMCTS75,Guy Tompkins,SCS2,Operation Delivery.Director,Crime - Director's Office,Ministry of Justice,AGY - HMCTS,Head of Operations,020 3334 3555,general.queries@justice.gsi.gov.uk,HMCTS16,339931722,1,95000,99999,Operational Delivery,,1
LAA12,David Aubrey QC,SCS2,Law.Director,Birmingham Salaried Defenders Service,Ministry of Justice,AGY - Legal Aid Agency,LAA Public Defenders,020 3334 3555,general.queries@justice.gsi.gov.uk,LAA10,1279922,1,140000,144999,Legal,,1
JAOPG40,N/D,SCS1,Policy Delivery.Deputy Director,Prisons & Probation Ombudsman Admin,Ministry of Justice,AGY - MoJ HQ,DIR - Prisons & Probation Ombudsman (ALB),020 3334 3555,general.queries@justice.gsi.gov.uk,JPSCG1,1454384,1,N/A,N/A,Policy,,1
CFOG41,N/D,SCS1,Other.Deputy Director,Facilities Management - SES,Ministry of Justice,AGY - MoJ HQ,DIR - Estates (CSG),020 3334 3555,general.queries@justice.gsi.gov.uk,CFOG31,0,1,N/A,N/A,Property,,1
CFOG42,N/D,SCS1,Finance.Deputy Director,Financial Reporting & Control,Ministry of Justice,AGY - MoJ HQ,DIR - Group Finance,020 3334 3555,general.queries@justice.gsi.gov.uk,CFOG15,3869866,1,N/A,N/A,Finance,,1
HMCTS76,N/D,SCS1,Property Asset Management.Deputy Director,HQ-Property Directorate,Ministry of Justice,AGY - HMCTS,HQ Estates,020 3334 3555,general.queries@justice.gsi.gov.uk,HMCTS67,201767,1,N/A,N/A,Property,,1
HMPPS1,N/D,SCS1,Other.Deputy Director,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,DDC London & Thames Valley,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS41,69986513,1,N/A,N/A,Operational Delivery,,1
HMPPS2,N/D,SCS1,Other.Deputy Director,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,Avon & South Dorset,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS41,963772,1,N/A,N/A,Operational Delivery,,1
HMPPS3,N/D,SCS1,Other.Deputy Director,CEO,Ministry of Justice,Her Majesty's Prison and Probation Service,NOMS Executive Management Office,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS63,830439,1,N/A,N/A,Operational Delivery,,1
HMPPS4,N/D,SCS1,Other.Deputy Director,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,DDC High Security Prisons Group,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS32,543526,1,N/A,N/A,Operational Delivery,,1
HMPPS5,Amy-Clare Mason,SCS2,Operation Delivery.Director,HMPPS Wales,Ministry of Justice,Her Majesty's Prison and Probation Service,Director of NOMS Wales,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS63,335028869,1,115000,119999,Operational Delivery,,1
HMPPS6,N/D,SCS1,Operational Research.Senior Manager,Community Interventions,Ministry of Justice,Her Majesty's Prison and Probation Service,Community Rehabilitation Services South East and London,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS49,3322644,1,N/A,N/A,Commercial,,1
HMPPS7,N/D,SCS1,General.,Rehabilitation & Assurance,Ministry of Justice,Her Majesty's Prison and Probation Service,Offender Safety Rights and Responsibilities Group,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS55,5026722,1,N/A,N/A,Policy,,1
HMPPS8,N/D,SCS1,Operation Delivery.Deputy Director,"Security, Order and Counter Terrorism",Ministry of Justice,Her Majesty's Prison and Probation Service,Security Group,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS26,9703936,1,N/A,N/A,Security,,1
HMPPS9,N/D,SCS1,Operation Delivery.Director General,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,"Kent, Surrey & Sussex Group",020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS41,39628266,1,N/A,N/A,Operational Delivery,,1
HMPPS10,N/D,SCS1,Administration - General.,Rehabilitation & Assurance,Ministry of Justice,Her Majesty's Prison and Probation Service,Prison Reform: Commissioning Design and Deregulation,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS10,NA,0.925,N/A,N/A,Operational Delivery,,1
HMPPS11,N/D,SCS1,Other.Deputy Director,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,"Hertfordshire, Essex & Suffolk Group",020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS41,32476793,1,N/A,N/A,Operational Delivery,,1
HMPPS12,N/D,SCS1,Administration - General.,North East Probation Service,Ministry of Justice,Her Majesty's Prison and Probation Service,North East Probation Service,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS21,49415349,1,N/A,N/A,Operational Delivery,,1
HMPPS13,N/D,SCS1,Administration - General.,Probation & Women,Ministry of Justice,Her Majesty's Prison and Probation Service,CI - PSDP Probation System Delivery Programme,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS19,812686,0.82927,N/A,N/A,Operational Delivery,,1
HMPPS14,N/D,SCS1,NPS.Senior Manager - Other,Probation & Women,Ministry of Justice,Her Majesty's Prison and Probation Service,NPS Women and Victims Division,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS21,379130,0.59459,N/A,N/A,Operational Delivery,,1
HMPPS15,N/D,SCS1,POS.GENERICHead of Policy,Estate Transformation,Ministry of Justice,Her Majesty's Prison and Probation Service,PETP,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS59,963285,1,N/A,N/A,Operational Delivery,,1
HMPPS16,N/D,SCS1,NPS.Probation Divisional Director,South West and South Central Probation Service,Ministry of Justice,Her Majesty's Prison and Probation Service,South West and South Central Probation Service,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS21,38649447,1,N/A,N/A,Operational Delivery,,1
HMPPS17,N/D,SCS1,General.,Youth Custody Service,Ministry of Justice,Her Majesty's Prison and Probation Service,DDC Young Peoples Group,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS33,41257542,1,N/A,N/A,Operational Delivery,,1
HMPPS18,N/D,SCS1,Human Resources.Deputy Director,HR,Ministry of Justice,Her Majesty's Prison and Probation Service,Director of HRs Office and Programme Hub,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS52,4040191,1,N/A,N/A,Human Resources (HR),,1
HMPPS19,Ian Blakeman,SCS2,General.,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,Executive Governor North East and Yorkshire,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS63,25878414,1,105000,109999,Operational Delivery,,1
HMPPS20,N/D,SCS1,Other.Deputy Director,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,"Greater Manchester, Merseyside & Cheshire Group",020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS51,39731536,1,N/A,N/A,Operational Delivery,,1
HMPPS21,Sonia Crozier,SCS2,NPS.Director of National Probation Service,Probation & Women,Ministry of Justice,Her Majesty's Prison and Probation Service,Director of National Probation Service,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS5,274755645,1,115000,119999,Operational Delivery,,1
HMPPS22,N/D,SCS1,Other.Deputy Director,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,South Central Group,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS41,44295169,1,N/A,N/A,Operational Delivery,,1
HMPPS23,N/D,SCS1,General.,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,Custodial Services Contract Management,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS30,2979206,1,N/A,N/A,Commercial,,1
HMPPS24,N/D,SCS1,General.,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,DDC The Midlands,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS51,69506410,1,N/A,N/A,Operational Delivery,,1
HMPPS25,N/D,SCS1,HQMP11.C&C Head of Electronic Monitoring Operations (HEMO),Electronic Monitoring,Ministry of Justice,Her Majesty's Prison and Probation Service,Electronic Mon HQ,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS42,819316,1,N/A,N/A,Commercial,,1
HMPPS26,Claudia Sturt,SCS2,Other.Director,"Security, Order and Counter Terrorism",Ministry of Justice,Her Majesty's Prison and Probation Service,Security Group,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS63,16603855,1,110000,114999,Security,,1
HMPPS27,N/D,SCS1,GC.Governor Complex,Rehabilitation & Assurance,Ministry of Justice,Her Majesty's Prison and Probation Service,"Education, Employment and Accommodation Group",020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS55,5337498,1,N/A,N/A,Policy,,1
HMPPS28,N/D,SCS1,General.,Community Interventions,Ministry of Justice,Her Majesty's Prison and Probation Service,Community Interventions - Whole System Improvement,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS19,293706,1,N/A,N/A,Commercial,,1
HMPPS29,N/D,SCS1,NPS.Probation Divisional Director,Midlands Probation Service,Ministry of Justice,Her Majesty's Prison and Probation Service,Midlands Probation Service,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS21,50153729,1,N/A,N/A,Operational Delivery,,1
HMPPS30,Philip Copple,SCS2,Finance & Procurement.,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,Director of PSP Office,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS63,842132654,1,135000,139999,Operational Delivery,,1
HMPPS31,N/D,SCS1,General.,Wales Probation Service,Ministry of Justice,Her Majesty's Prison and Probation Service,NPS HQ Support,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS5,20426843,1,N/A,N/A,Operational Delivery,,1
HMPPS32,Richard Vince,SCS2,Operation Delivery.Director,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,DDC High Security Prisons Group,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS30,156886942,1,105000,109999,Operational Delivery,,1
HMPPS33,Helga Swidenbank,SCS2,Operation Delivery.Director,Youth Custody Service,Ministry of Justice,Her Majesty's Prison and Probation Service,Director's Office YCS,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS63,45109104,1,115000,119999,Operational Delivery,,1
HMPPS34,N/D,SCS1,Other.Deputy Director,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,East Midlands Group,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS51,35937578,1,N/A,N/A,Operational Delivery,,1
HMPPS35,N/D,SCS1,NPS.Probation Divisional Director,London Probation Service,Ministry of Justice,Her Majesty's Prison and Probation Service,London Probation Service,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS21,37096072,1,N/A,N/A,Operational Delivery,,1
HMPPS36,N/D,SCS1,General.,Estate Transformation,Ministry of Justice,Her Majesty's Prison and Probation Service,PETP,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS55,2177362,1,N/A,N/A,Operational Delivery,,1
HMPPS37,N/D,SCS1,Human Resources.Deputy Director,HR,Ministry of Justice,Her Majesty's Prison and Probation Service,Organisational Development Group,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS52,11091083,1,N/A,N/A,Operational Delivery,,1
HMPPS38,N/D,SCS1,Human Resources.Deputy Director,HR,Ministry of Justice,Her Majesty's Prison and Probation Service,Organisational Development Group,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS19,17408240,1,N/A,N/A,Operational Delivery,,1
HMPPS39,N/D,SCS1,NPS.Probation Deputy Director,Probation & Women,Ministry of Justice,Her Majesty's Prison and Probation Service,HQ Operational Business Support,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS19,702662,1,N/A,N/A,Operational Delivery,,1
HMPPS40,N/D,SCS1,General.,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,Director of PSP Office,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS30,299813,1,N/A,N/A,Operational Delivery,,1
HMPPS41,Michelle Jarman-Howe,SCS2,Operation Delivery.Director,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,PSP South,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS30,306948135,1,105000,109999,Operational Delivery,,1
HMPPS42,Adrian Scott,SCS2,General.,"Security, Order and Counter Terrorism",Ministry of Justice,Her Majesty's Prison and Probation Service,Security Group,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS63,1089880,1,100000,104999,Security,,1
HMPPS43,N/D,SCS1,Administration - General.,Community Interventions,Ministry of Justice,Her Majesty's Prison and Probation Service,Project Cedar,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS43,NA,1,N/A,N/A,Commercial,,1
HMPPS44,N/D,SCS1,Operation Delivery.Deputy Director,Rehabilitation & Assurance,Ministry of Justice,Her Majesty's Prison and Probation Service,Rehabilitation Systems and Change Group,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS55,3547871,1,N/A,N/A,Policy,,1
HMPPS45,N/D,SCS1,Other.Deputy Director,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,Immigration Removal & Foreign National Prisons,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS41,16285822,1,N/A,N/A,Operational Delivery,,1
HMPPS46,N/D,SCS1,BA.Programmes,Electronic Monitoring,Ministry of Justice,Her Majesty's Prison and Probation Service,Electronic Mon HQ,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS42,0,1,N/A,N/A,Commercial,,1
HMPPS47,N/D,SCS1,General.,HMPPS Wales,Ministry of Justice,Her Majesty's Prison and Probation Service,Strategic Support Administration and Assurance,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS5,2013772,1,N/A,N/A,Operational Delivery,,1
HMPPS48,N/D,SCS1,Other.Deputy Director,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,"Bedfordshire, Cambridgeshire & Norfolk Group",020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS41,46580419,1,N/A,N/A,Operational Delivery,,1
HMPPS49,Ian Poree,SCS2,Administration - General.,Community Interventions,Ministry of Justice,Her Majesty's Prison and Probation Service,Contract Management Services,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS63,4260743,1,140000,144999,Commercial,,1
HMPPS50,N/D,SCS1,Administration - General.,North West Probation Service,Ministry of Justice,Her Majesty's Prison and Probation Service,North West Probation Service,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS21,47399699,1,N/A,N/A,Operational Delivery,,1
HMPPS51,Alan Scott,SCS2,Operation Delivery.Director,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,DDC North West,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS30,374363343,1,105000,109999,Operational Delivery,,1
HMPPS52,Martin Beecroft,SCS2,Human Resources.,HR,Ministry of Justice,Her Majesty's Prison and Probation Service,Director of HRs Office and Programme Hub,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS63,15800243,1,110000,114999,Human Resources (HR),,1
HMPPS53,N/D,SCS1,Operational Manager.,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,Estates Contract Management,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS51,29720681,1,N/A,N/A,Commercial,,1
HMPPS54,N/D,SCS1,Administration - General.,Estate Transformation,Ministry of Justice,Her Majesty's Prison and Probation Service,PETP: Custodial Capacity,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS59,2021510,1,N/A,N/A,Operational Delivery,,1
HMPPS55,Digby Griffith,SCS2,Finance & Procurement.,Rehabilitation & Assurance,Ministry of Justice,Her Majesty's Prison and Probation Service,Rehabilitation Systems and Change Group,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS63,45091667,1,100000,104999,Policy,,1
HMPPS56,N/D,SCS1,Other.Deputy Director,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,North Midlands Group,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS51,35428670,1,N/A,N/A,Operational Delivery,,1
HMPPS57,N/D,SCS1,Finance & Procurement.,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,Offender Management and Public Protection Group,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS21,8884203,1,N/A,N/A,Policy,,1
HMPPS58,N/D,SCS1,General.,South East and Eastern Probation Service,Ministry of Justice,Her Majesty's Prison and Probation Service,South East and Eastern Probation Service,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS21,41979975,1,N/A,N/A,Operational Delivery,,1
HMPPS59,Simon Boddis,SCS2,Programme and Project Management.Director,Estate Transformation,Ministry of Justice,Her Majesty's Prison and Probation Service,PETP,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS63,6640208,1,90000,94999,Operational Delivery,,1
HMPPS60,N/D,SCS1,Other.Deputy Director,HMPPS Wales,Ministry of Justice,Her Majesty's Prison and Probation Service,Lead Governor Office,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS5,37158942,1,N/A,N/A,Operational Delivery,,1
HMPPS61,N/D,SCS1,Other.Deputy Director,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,DDC North East and Yorkshire,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS51,39588486,1,N/A,N/A,Operational Delivery,,1
HMPPS62,N/D,SCS1,General.,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,DDC North East and Yorkshire,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS51,67850729,1,N/A,N/A,Operational Delivery,,1
HMPPS63,Michael Spurr,SCS3,Administration - General.,CEO,Ministry of Justice,Her Majesty's Prison and Probation Service,NOMS Executive Management Office,020 3334 3555,general.queries@justice.gsi.gov.uk,XX,1339698550,1,145000,149999,Operational Delivery,,1
HMPPS64,N/D,SCS1,Other.Deputy Director,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,Devon & North Dorset Prisons,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS41,26195686,1,N/A,N/A,Operational Delivery,,1
HMPPS65,N/D,SCS1,Administration - General.,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,Contract Management FM,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS59,177471,1,N/A,N/A,Commercial,,1
HMPPS66,N/D,SCS1,Other.Deputy Director,Public Sector Prisons Directorate,Ministry of Justice,Her Majesty's Prison and Probation Service,DDC Women's Estates,020 3334 3555,general.queries@justice.gsi.gov.uk,HMPPS51,47497166,1,N/A,N/A,Operational Delivery,,1
